Epoch: 1/20000, Action: (6, 3), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 103.46939086914062
Epoch: 2/20000, Action: (6, 1), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 108.34037017822266
Epoch: 3/20000, Action: (8, 0), Score: -2352, Tetrominoes 13, Cleared lines: 0, Loss: 112.13836669921875
Epoch: 4/20000, Action: (2, 1), Score: -1662, Tetrominoes 27, Cleared lines: 0, Loss: 120.18360137939453
Epoch: 5/20000, Action: (0, 1), Score: -1582, Tetrominoes 29, Cleared lines: 0, Loss: 126.34754180908203
Epoch: 6/20000, Action: (10, 2), Score: -1292, Tetrominoes 35, Cleared lines: 0, Loss: 144.698974609375
Epoch: 7/20000, Action: (4, 1), Score: -1692, Tetrominoes 26, Cleared lines: 0, Loss: 149.87193298339844
Epoch: 8/20000, Action: (7, 0), Score: -1772, Tetrominoes 25, Cleared lines: 0, Loss: 159.10684204101562
Epoch: 9/20000, Action: (0, 1), Score: -1282, Tetrominoes 35, Cleared lines: 0, Loss: 168.74331665039062
Epoch: 10/20000, Action: (2, 1), Score: -1662, Tetrominoes 27, Cleared lines: 0, Loss: 184.79031372070312
Epoch: 11/20000, Action: (11, 0), Score: -1732, Tetrominoes 26, Cleared lines: 0, Loss: 196.16436767578125
Epoch: 12/20000, Action: (10, 0), Score: -1412, Tetrominoes 32, Cleared lines: 0, Loss: 224.58380126953125
Epoch: 13/20000, Action: (6, 0), Score: -2152, Tetrominoes 17, Cleared lines: 0, Loss: 253.2855682373047
Epoch: 14/20000, Action: (5, 2), Score: -1722, Tetrominoes 26, Cleared lines: 0, Loss: 240.4537353515625
Epoch: 15/20000, Action: (1, 1), Score: -1622, Tetrominoes 28, Cleared lines: 0, Loss: 287.15582275390625
Epoch: 16/20000, Action: (11, 3), Score: -1232, Tetrominoes 36, Cleared lines: 0, Loss: 312.8717956542969
Epoch: 17/20000, Action: (9, 3), Score: -1742, Tetrominoes 25, Cleared lines: 0, Loss: 334.6081237792969
Epoch: 18/20000, Action: (2, 0), Score: -1702, Tetrominoes 27, Cleared lines: 0, Loss: 463.65179443359375
Epoch: 19/20000, Action: (11, 2), Score: -1792, Tetrominoes 25, Cleared lines: 0, Loss: 421.22137451171875
Epoch: 20/20000, Action: (6, 1), Score: -1672, Tetrominoes 26, Cleared lines: 0, Loss: 430.6156311035156
Epoch: 21/20000, Action: (0, 0), Score: -1302, Tetrominoes 34, Cleared lines: 0, Loss: 451.01251220703125
Epoch: 22/20000, Action: (7, 1), Score: -1722, Tetrominoes 26, Cleared lines: 0, Loss: 516.0653076171875
Epoch: 23/20000, Action: (7, 2), Score: -1702, Tetrominoes 26, Cleared lines: 0, Loss: 511.74920654296875
Epoch: 24/20000, Action: (7, 0), Score: -1672, Tetrominoes 26, Cleared lines: 0, Loss: 585.2734985351562
Epoch: 25/20000, Action: (7, 3), Score: -2242, Tetrominoes 15, Cleared lines: 0, Loss: 448.2259521484375
Epoch: 26/20000, Action: (3, 1), Score: -1862, Tetrominoes 23, Cleared lines: 0, Loss: 564.980224609375
Epoch: 27/20000, Action: (8, 3), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 763.8048095703125
Epoch: 28/20000, Action: (11, 1), Score: -1912, Tetrominoes 22, Cleared lines: 0, Loss: 693.910888671875
Epoch: 29/20000, Action: (3, 0), Score: -1882, Tetrominoes 22, Cleared lines: 0, Loss: 1156.611083984375
Epoch: 30/20000, Action: (5, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 933.6588745117188
Epoch: 31/20000, Action: (10, 0), Score: -1332, Tetrominoes 34, Cleared lines: 0, Loss: 950.8095092773438
Epoch: 32/20000, Action: (7, 0), Score: -1312, Tetrominoes 34, Cleared lines: 0, Loss: 727.9326782226562
Epoch: 33/20000, Action: (4, 0), Score: -1672, Tetrominoes 27, Cleared lines: 0, Loss: 912.4855346679688
Epoch: 34/20000, Action: (8, 0), Score: -1752, Tetrominoes 25, Cleared lines: 0, Loss: 1383.824462890625
Epoch: 35/20000, Action: (11, 0), Score: -2072, Tetrominoes 19, Cleared lines: 0, Loss: 1586.5985107421875
Epoch: 36/20000, Action: (4, 1), Score: -1832, Tetrominoes 23, Cleared lines: 0, Loss: 1000.225341796875
Epoch: 37/20000, Action: (2, 0), Score: -1802, Tetrominoes 24, Cleared lines: 0, Loss: 1072.8765869140625
Epoch: 38/20000, Action: (1, 1), Score: -1732, Tetrominoes 26, Cleared lines: 0, Loss: 1380.551513671875
Epoch: 39/20000, Action: (8, 1), Score: -1532, Tetrominoes 29, Cleared lines: 0, Loss: 850.956298828125
Epoch: 40/20000, Action: (8, 1), Score: -2112, Tetrominoes 18, Cleared lines: 0, Loss: 996.6925659179688
Epoch: 41/20000, Action: (3, 0), Score: -1822, Tetrominoes 24, Cleared lines: 0, Loss: 1366.3699951171875
Epoch: 42/20000, Action: (11, 0), Score: -1502, Tetrominoes 30, Cleared lines: 0, Loss: 906.3004760742188
Epoch: 43/20000, Action: (6, 0), Score: -1482, Tetrominoes 31, Cleared lines: 0, Loss: 839.1902465820312
Epoch: 44/20000, Action: (2, 0), Score: -1412, Tetrominoes 32, Cleared lines: 0, Loss: 1539.1256103515625
Epoch: 45/20000, Action: (4, 3), Score: -2182, Tetrominoes 16, Cleared lines: 0, Loss: 1442.064697265625
Epoch: 46/20000, Action: (10, 1), Score: -1902, Tetrominoes 23, Cleared lines: 0, Loss: 1259.8377685546875
Epoch: 47/20000, Action: (6, 0), Score: -2072, Tetrominoes 18, Cleared lines: 0, Loss: 971.5777587890625
Epoch: 48/20000, Action: (8, 2), Score: -1832, Tetrominoes 24, Cleared lines: 0, Loss: 1413.48876953125
Epoch: 49/20000, Action: (3, 1), Score: -1852, Tetrominoes 23, Cleared lines: 0, Loss: 1566.133056640625
Epoch: 50/20000, Action: (4, 2), Score: -1772, Tetrominoes 24, Cleared lines: 0, Loss: 1077.4390869140625
Epoch: 51/20000, Action: (11, 0), Score: -2102, Tetrominoes 18, Cleared lines: 0, Loss: 1477.24609375
Epoch: 52/20000, Action: (8, 0), Score: -1582, Tetrominoes 29, Cleared lines: 0, Loss: 1543.2120361328125
Epoch: 53/20000, Action: (12, 0), Score: -1852, Tetrominoes 23, Cleared lines: 0, Loss: 2026.9312744140625
Epoch: 54/20000, Action: (6, 1), Score: -2002, Tetrominoes 20, Cleared lines: 0, Loss: 1625.917236328125
Epoch: 55/20000, Action: (6, 1), Score: -1852, Tetrominoes 23, Cleared lines: 0, Loss: 2084.590576171875
Epoch: 56/20000, Action: (5, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1694.6197509765625
Epoch: 57/20000, Action: (7, 1), Score: -1772, Tetrominoes 24, Cleared lines: 0, Loss: 2037.248046875
Epoch: 58/20000, Action: (8, 0), Score: -1662, Tetrominoes 28, Cleared lines: 0, Loss: 1396.22412109375
Epoch: 59/20000, Action: (4, 2), Score: -1352, Tetrominoes 33, Cleared lines: 0, Loss: 1605.0606689453125
Epoch: 60/20000, Action: (10, 0), Score: -1752, Tetrominoes 25, Cleared lines: 0, Loss: 1844.548828125
Epoch: 61/20000, Action: (6, 1), Score: -1782, Tetrominoes 24, Cleared lines: 0, Loss: 1934.968017578125
Epoch: 62/20000, Action: (8, 1), Score: -1762, Tetrominoes 25, Cleared lines: 0, Loss: 2006.162109375
Epoch: 63/20000, Action: (8, 0), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1283.5692138671875
Epoch: 64/20000, Action: (7, 1), Score: -1702, Tetrominoes 26, Cleared lines: 0, Loss: 2194.04150390625
